transaction_id,description,amount,category,date,month,customer_id,type,in_or_out,bank_to,bank_from,transac_prob,description_prob,priority,home_bank,customer_prob
2343,Utilities Payment - Water and Sewer,65.0,Utilities,2023-10-01,October,17699,spending,paid_out,bank_C,bank_A,0.51,0.43,1,bank_A,0.66
2413,Rent Payment,1200.0,Housing,2023-10-01,October,17699,spending,paid_out,bank_D,bank_A,0.64,0.38,3,bank_A,0.66
3350,Internet Service Payment - Provider Name,70.0,Utilities,2023-10-02,October,17699,spending,paid_out,bank_C,bank_A,0.39,0.55,1,bank_A,0.66
4355,Hy-Vee,40.0,Groceries,2023-10-03,October,17699,spending,paid_out,bank_A,bank_A,0.37,0.66,1,bank_A,0.66
4831,Phone Bill Payment - Wireless Provider,65.0,Utilities,2023-10-03,October,17699,spending,paid_out,bank_C,bank_A,0.48,0.11,1,bank_A,0.66
5984,Restaurant Dinner - Date Night,90.0,Dining Out,2023-10-04,October,17699,spending,paid_out,bank_E,bank_A,0.43,0.16,2,bank_A,0.66
5986,Transfer to Investment Account,500.0,Transfers,2023-10-04,October,17699,spending,paid_out,bank_C,bank_A,0.62,0.1,3,bank_A,0.66
5987,Credit Card Payment - Visa **** 4567,95.75,Credit Card Payment,2023-10-04,October,17699,spending,paid_out,bank_C,bank_A,0.55,0.21,2,bank_A,0.66
5988,Restaurant Lunch - Business Meeting,75.0,Dining Out,2023-10-04,October,17699,spending,paid_out,bank_E,bank_A,0.55,0.66,1,bank_A,0.66
6001,Verizon Wireless - Monthly Phone Bill,75.5,Utilities,2023-10-04,October,17699,spending,paid_out,bank_E,bank_A,0.53,0.2,1,bank_A,0.66
6408,Home Healthcare Services - Nursing Care,180.0,Healthcare,2023-10-05,October,17699,spending,paid_out,bank_E,bank_A,0.54,0.48,3,bank_A,0.66
6409,Home Improvement - Paint and Supplies,110.75,Home Improvement,2023-10-05,October,17699,spending,paid_out,bank_A,bank_A,0.49,0.43,2,bank_A,0.66
6523,Credit Card Payment - Visa **** 7890,85.25,Credit Card Payment,2023-10-05,October,17699,spending,paid_out,bank_E,bank_A,0.64,0.56,2,bank_A,0.66
8052,Transfer to Vacation Fund,400.0,Transfers,2023-10-06,October,17699,spending,paid_out,bank_E,bank_A,0.6,0.56,3,bank_A,0.66
8071,Mango - Fashion Shopping,120.0,Shopping,2023-10-06,October,17699,spending,paid_out,bank_C,bank_A,0.67,0.59,2,bank_A,0.66
10929,Smart & Final,35.0,Groceries,2023-10-10,October,17699,spending,paid_out,bank_E,bank_A,0.17,0.34,1,bank_A,0.66
